ANO,MES,FATURAMENTO,DESPESAS,LUCRO
2023,FEV,0.0,0.0,0.0
2023,MAR,0.0,0.0,0.0
2023,ABR,0.0,0.0,0.0
2023,MAI,0.0,0.0,0.0
2023,JUN,0.0,0.0,0.0
2023,JUL,0.0,0.0,0.0
2023,AGO,44448.64,42128.6084,1617.621600000002
2023,SET,123269.5,97732.75,21613.03
2023,OUT,132752.81999999998,104012.85,23001.45999999997
2023,NOV,130200.02,97527.13,26512.48
2023,DEZ,172067.58,119658.27999999998,45262.4
2024,JAN,261166.84999999992,159418.28999999998,90851.98999999993
2024,FEV,140828.41000000003,102496.27000000002,30572.02000000001
2024,MAR,121821.86,93596.65000000001,21333.089999999993
2024,ABR,86888.13000000002,79720.64,2183.91000000002
2024,MAI,89245.95,79148.17,4500.5599999999995
2024,JUN,79219.02,72020.01,1420.3100000000095
2024,JUL,104557.82999999999,87100.18999999999,10982.39
2024,AGO,116333.61000000002,92856.42000000001,16385.340000000004
2024,SET,127125.34999999999,96045.62999999999,23239.15
2024,OUT,136455.81,115650.37999999998,13006.500000000022
2024,NOV,165135.46999999997,116384.24999999999,40266.819999999985
2024,DEZ,207960.41,137056.75,59196.9
2025,JAN,351086.24000000005,222090.93000000005,114824.98999999999
2025,FEV,132347.87000000002,94978.7,30261.780000000028
2025,MAR,197120.80000000002,143368.11,43074.89000000003
2025,ABR,159408.22999999998,115802.13999999998,35925.88
2025,MAI,120092.01,95422.03,17397.719999999998
2025,JUN,75090.35,72635.93999999999,-5195.389999999982
2025,JUL,131348.37999999998,104814.54000000001,18510.37999999997
2025,AGO,132996.83999999997,97753.53,25903.199999999968
2025,SET,142537.11,106847.85,26592.67999999998
2025,OUT,161370.44999999998,111980.89,39950.37999999998
2025,NOV,178029.06,121776.85,46217.85999999999
2025,DEZ,210027.75000000003,144199.97,54676.44000000003
2026,JAN,310049.88,194201.9,101629.28000000001
2026,FEV,148413.73999999996,62608.13,84210.60999999996
2026,MAR,0.0,0.0,0.0
2026,ABR,0.0,0.0,0.0
2026,MAI,0.0,0.0,0.0
2026,JUN,0.0,0.0,0.0
2026,JUL,0.0,0.0,0.0
2026,AGO,0.0,0.0,0.0
2026,SET,0.0,0.0,0.0
2026,OUT,0.0,0.0,0.0
2026,NOV,0.0,0.0,0.0
2026,DEZ,0.0,0.0,0.0
