ANO,MES,FATURAMENTO,DESPESAS,INSUMOS,TAXAS,RETIRADAS_DE_CAIXA,PROVISOES,LUCRO,INVESTIMENTOS,CAIXA_INTER
2023,JAN,0,0,0,0,0,0,0,0,0
2023,FEV,0,0,0,0,0,0,0,0,0
2023,MAR,0,0,0,0,0,0,0,0,0
2023,ABR,0,0,0,0,0,0,0,0,0
2023,MAI,0,0,0,0,0,0,0,0,0
2023,JUN,0,0,0,0,0,0,0,0,0
2023,JUL,0,0,0,0,0,0,0,0,0
2023,AGO,44448.64,42128.6084,13994.88,702.4100000000001,0,0,1617.621600000002,987.44,0
2023,SET,123269.5,97732.75,53890.88,2689.9900000000002,1233.73,0,21613.03,1598.68,3314.2599999999984
2023,OUT,132752.81999999998,104012.85,61873.49,2754.51,1484,1500,23001.45999999997,1598.68,3390.9099999999708
2023,NOV,130200.02,97527.13,57837.66,3111.41,1049,168.8499999999999,26512.48,1863.68,939.3800000000012
2023,DEZ,172067.58,119658.27999999998,75359.17,3926.9,1220,430.44000000000005,45262.4,400,8
ANO,MÊS,FATURAMENTO,DESPESAS,INSUMOS,TAXAS,RETIRADAS DE CAIXA,PROVISÕES,LUCRO,INVESTIMENTOS,CAIXA INTER
2024,JAN,261166.84999999992,159418.28999999998,104106.96,5862.57,2534,2500,90851.98999999993,1928.92,-162.6800000000676
2024,FEV,140828.41000000003,102496.27000000002,53082.15,3699.12,1061,-2238.1400000000003,30572.02000000001,0,20572.02000000001
2024,MAR,121821.86,93596.65000000001,43629.03,3257.12,635,3000,21333.089999999993,211.28,11121.809999999992
2024,ABR,86888.13000000002,79720.64,36789.19,2690.58,293,2000,2183.91000000002,333.6,1850.31000000002
2024,MAI,89245.95,79148.17,35453.47,2887.22,710,2000,4500.5599999999995,91.19,4409.37
2024,JUN,79219.02,72020.01,33879.05,2623.7,1155,2000,1420.3100000000095,0,1420.3100000000095
2024,JUL,104557.82999999999,87100.18999999999,46304.25,2590.25,1885,2000,10982.39,0,982.3899999999994
2024,AGO,116333.61000000002,92856.42000000001,45956.41,3481.85,1210,2400,16385.340000000004,291.2,1094.1400000000037
2024,SET,127125.34999999999,96045.62999999999,48308.49,3802.57,1238,2800,23239.15,1110,2129.1500000000015
2024,OUT,136455.81,115650.37999999998,66946.48,3720.29,1278.6399999999999,2800,13006.500000000022,207.79,-7201.289999999978
2024,NOV,165135.46999999997,116384.24999999999,64332.29,3649.4000000000005,2035,-1431.13,40266.819999999985,11844.36,8422.459999999985
2024,DEZ,207960.41,137056.75,80641.2,5816.360000000001,3090.4,-2149.13,59196.9,2159.72,-2962.8199999999983
ANO,MÊS,FATURAMENTO,DESPESAS,INSUMOS,TAXAS,RETIRADAS DE CAIXA,PROVISÕES,LUCRO,INVESTIMENTOS,CAIXA INTER
2025,JAN,351086.24000000005,222090.93000000005,135773.04,7852.32,3518,2800,114824.98999999999,5523.82,49301.16999999999
2025,FEV,132347.87000000002,94978.7,44204.75,2982.79,274.6,-3645.3199999999997,30261.780000000028,5610,4651.780000000028
2025,MAR,197120.80000000002,143368.11,84557.07,5277.8,1550,1551.6399999999999,43074.89000000003,-4840,27914.89000000003
2025,ABR,159408.22999999998,115802.13999999998,63538.049999999996,3720.2100000000005,660,690.31,35925.88,0,-4074.1200000000026
2025,MAI,120092.01,95422.03,46045.24,3210.37,761.89,-736.9299999999998,17397.719999999998,1416.7,-4018.9800000000023
2025,JUN,75090.35,72635.93999999999,28867.85,3589.8,210,3850,-5195.389999999982,9233.52,-34428.90999999998
2025,JUL,131348.37999999998,104814.54000000001,55562.73000000001,4520.12,203.34,3300,18510.37999999997,7371.2,-8860.820000000032
2025,AGO,132996.83999999997,97753.53,47046.61,4306.83,1183.28,2604.91,25903.199999999968,3000,2903.199999999968
2025,SET,142537.11,106847.85,53870.94000000001,3813.58,1433,3850,26592.67999999998,9000,-2407.3200000000215
2025,OUT,161370.44999999998,111980.89,54992.64,3781.1799999999994,1258,2384.75,39950.37999999998,0,19950.379999999983
2025,NOV,178029.06,121776.85,64101.53,5000.35,1184,-3802.3100000000004,46217.85999999999,1047.99,-99819.86000000002
2025,DEZ,210027.75000000003,144199.97,81484.45999999999,5704.09,1597.25,-1672.87,54676.44000000003,0,-323.55999999996857
ANO,MÊS,FATURAMENTO,DESPESAS,INSUMOS,TAXAS,RETIRADAS DE CAIXA,PROVISÕES,LUCRO,INVESTIMENTOS,CAIXA INTER
2025,JAN,310049.88,194201.9,111550.26000000001,7277.699999999999,3091,-794.6000000000004,101629.28000000001,2000,49629.28000000001
2025,FEV,148413.73999999996,62608.13,51682.51,0,1595,-8932.11,84210.60999999996,0,59210.60999999996
2025,MAR,0,0,0,0,0,0,0,0,0
2025,ABR,0,0,0,0,0,0,0,0,0
2025,MAI,0,0,0,0,0,0,0,0,0
2025,JUN,0,0,0,0,0,0,0,0,0
2025,JUL,0,0,0,0,0,0,0,0,0
2025,AGO,0,0,0,0,0,0,0,0,0
2025,SET,0,0,0,0,0,0,0,0,0
2025,OUT,0,0,0,0,0,0,0,0,0
2025,NOV,0,0,0,0,0,0,0,0,0
2025,DEZ,0,0,0,0,0,0,0,0,0
